value,identifier_type_id,main_identifier,identifiable_type,identifiable_id
8434485146281az,3,true,Offer,288
8434485146281pi,3,true,Offer,289
8434485146281vi,3,true,Offer,290
8434485344359,1,true,Product,424
8434485344359ma,3,true,Offer,291
8434485344359ve,3,true,Offer,292
8434485344366,1,true,Product,425
8434485344366az,3,true,Offer,293
8434485344366pi,3,true,Offer,294
8434485344373,1,true,Product,426
8434485344380,1,true,Product,427
8434485344403,1,true,Product,428
8434485489128,1,true,Product,429
8434485489142,1,true,Product,430
8434485489197,1,true,Product,431
8434485489203,1,true,Product,432
8434485489210,1,true,Product,433
8434485489227,1,true,Product,434
8434485489227ro,3,true,Offer,295
8434485489227ve,3,true,Offer,296
854111004002,2,true,Product,435
854111004033,2,true,Product,436
854111004040,2,true,Product,437
854111004057,2,true,Product,438
854111004071,2,true,Product,439
854111004088,2,true,Product,440
854111004101,2,true,Product,441
854111004125,2,true,Product,442
854111004132,2,true,Product,443
854111004156,2,true,Product,444
854111004286,2,true,Product,445
854111004309,2,true,Product,446
854111004460,2,true,Product,447
854111004477,2,true,Product,448
854111004484,2,true,Product,449
854111004491,2,true,Product,450
854111004507,2,true,Product,451
854111004729,2,true,Product,452
854111004736,2,true,Product,453
8711231175789,1,true,Product,454
888886032786,2,true,Product,455
888886032847,2,true,Product,456
888886032878,2,true,Product,457
888886032946,2,true,Product,458
888886032991,2,true,Product,459
888886033325,2,true,Product,460
888886033332,2,true,Product,461
888886033356,2,true,Product,462
8999067974770,1,true,Product,463
9100200300090,1,true,Product,464
9201502832316,1,true,Product,465
9206270097011,1,true,Product,466
9345719019358,1,true,Product,467
9345719019365,1,true,Product,468
9345719019372,1,true,Product,469
9345719019389,1,true,Product,470
9345719046675,1,true,Product,471
9345719046682,1,true,Product,472
9345719046699,1,true,Product,473
9345719046705,1,true,Product,474
9345719046712,1,true,Product,475
9345719046729,1,true,Product,476
9790201219738,1,true,Product,477
Dandi-051,3,true,Product,478
Dandi-116,3,true,Product,479
Dandi-519,3,true,Product,480
Dandi-519pi,3,true,Offer,297
Dandi-519ro,3,true,Offer,298
Dandi-519ve,3,true,Offer,299
Dandi-907-2,3,true,Product,481
Dandi-911-2,3,true,Product,482
Dandi-911-3,3,true,Product,483
Dandi-911-4,3,true,Product,484
Dandi043,3,true,Product,485
Dandi501,3,true,Product,486
Dandi501bl,3,true,Offer,300
Dandi501ce,3,true,Offer,301
Dandi501gr,3,true,Offer,302
Dandi501pi,3,true,Offer,303
Dandi502,3,true,Product,487
Dandi502bl,3,true,Offer,304
Dandi502ce,3,true,Offer,305
Dandi502gr,3,true,Offer,306
Dandi502pi,3,true,Offer,307
Dandi554,3,true,Product,488
Dandi583,3,true,Product,489
Dandi583az,3,true,Offer,308
Dandi583pi,3,true,Offer,309
SKU00001,3,true,Product,490
SKU00002,3,true,Product,491
SKU00003,3,true,Product,492
SKU00004,3,true,Product,493
SKU00006,3,true,Product,494
SKU00007,3,true,Product,495
SKU00009,3,true,Product,496
SKU00010,3,true,Product,497
SKU00011,3,true,Product,498
SKU00012,3,true,Product,499
SKU00013,3,true,Product,500
SKU00013LL,3,true,Offer,310
SKU00013MM,3,true,Offer,311
SKU00013SS,3,true,Offer,312
SKU00014,3,true,Product,501
SKU00014MM,3,true,Offer,313
SKU00014SS,3,true,Offer,314
SKU00015,3,true,Product,502
SKU00016,3,true,Product,503
SKU00017,3,true,Product,504
SKU00018,3,true,Product,505
SKU00019,3,true,Product,506
SKU00021,3,true,Product,507
SKU00022,3,true,Product,508
SKU00024,3,true,Product,509
SKU00024LL,3,true,Offer,315
SKU00024SS,3,true,Offer,316
SKU00025,3,true,Product,510
SKU00026,3,true,Product,511
SKU00027,3,true,Product,512
SKU00028,3,true,Product,513
SKU00029,3,true,Product,514
SKU00030,3,true,Product,515
SKU00031,3,true,Product,516
SKU00032,3,true,Product,517
